Budget Period,Agency,Fund,Program,Activity,Available Amount,Obligated Amount,Spend Amount,Remaining Amount,Budget Amount,Budget Remaining Amount
2023,Agriculture Dept,Clean Water Fund,Protection Service,Pesticide and Fertilizer Mgmt,9348516.9,0,9348516.9,0,9348516.9,0
2023,Agriculture Dept,Clean Water Revolving Fund,Admin and Financial Assist,Agency Services - Agriculture,18269675.77,0,18269675.77,0,18269675.77,0
2023,Agriculture Dept,Coronavirus Relief Fund,Protection Service,Lab Services,0,0,0,0,0,0
2023,Agriculture Dept,Environment & Natural Resource,Protection Service,Pesticide and Fertilizer Mgmt,20218.71,0,20218.71,0,20218.71,0
2023,Agriculture Dept,Environment & Natural Resource,Protection Service,Plant Protection,141251.15,0,141251.15,0,141251.15,0
2023,Agriculture Dept,Federal,Admin and Financial Assist,Agency Services - Agriculture,352372.56,0,352372.56,0,352372.56,0
2023,Agriculture Dept,Federal,Ag Marketing & Development,"Marketing, Development, and Innovation",6508275.39,0,5629458.11,878817.28,5777889.75,148431.64
2023,Agriculture Dept,Federal,Promotion and Marketing,Ag Marketing and Development,371196.29,0,343806.94,27389.35,345652.45,1845.51
2023,Agriculture Dept,Federal,Protection Service,Dairy and Meat Inspection,1737176.47,0,1737176.47,0,1737176.47,0
2023,Agriculture Dept,Federal,Protection Service,Food and Feed Safety,1978065.87,0,1978065.87,0,1978065.87,0
2023,Agriculture Dept,Federal,Protection Service,Lab Services,1705535.36,0,1705535.36,0,1705535.36,0
2023,Agriculture Dept,Federal,Protection Service,Pesticide and Fertilizer Mgmt,399311.98,0,399311.98,0,399311.98,0
2023,Agriculture Dept,Federal,Protection Service,Plant Protection,1170926.44,0,1170926.08,0.36,1170926.08,0
2023,Agriculture Dept,General,Admin and Financial Assist,Agency Services - Agriculture,6095791.34,0,6095791.34,0,6102596.56,6805.22
2023,Agriculture Dept,General,Admin and Financial Assist,Grants and Assistance,14007882.07,5778.84,14002103.23,0,14087949.65,80067.58
2023,Agriculture Dept,General,Ag Marketing & Development,"Marketing, Development, and Innovation",4180242.44,2500,4177742.44,0,4216560.37,36317.93
2023,Agriculture Dept,General,Promotion and Marketing,Ag Marketing and Development,67476.48,0,67476.48,0,67476.48,0
2023,Agriculture Dept,General,Protection Service,Dairy and Meat Inspection,2939143.55,0,2939143.55,0,2939143.55,0
2023,Agriculture Dept,General,Protection Service,Food and Feed Safety,7299432.27,0,7299432.27,0,7299432.27,0
2023,Agriculture Dept,General,Protection Service,Lab Services,6075685.54,0,6075685.54,0,6081601.51,5915.97
2023,Agriculture Dept,General,Protection Service,Pesticide and Fertilizer Mgmt,800698.12,0,800698.12,0,800698.12,0
2023,Agriculture Dept,General,Protection Service,Plant Protection,3641648.69,0,3641648.69,0,3641648.69,0
2023,Agriculture Dept,General,Value-added Products,Value-Added,17891916.93,2145522.08,15746036.81,358.04,19093207.36,1201648.47
2023,Agriculture Dept,Gift,Admin and Financial Assist,Agency Services - Agriculture,4335.05,0,4335.05,0,4335.05,0
2023,Agriculture Dept,Gift,Admin and Financial Assist,Grants and Assistance,0,0,0,0,0,0
2023,Agriculture Dept,Gift,Ag Marketing & Development,"Marketing, Development, and Innovation",64305.16,0,64305.16,0,64430.36,125.2
2023,Agriculture Dept,Gift,Promotion and Marketing,Ag Marketing and Development,0,0,0,0,0,0
2023,Agriculture Dept,Gift,Protection Service,Pesticide and Fertilizer Mgmt,100000,0,100000,0,100000,0
2023,Agriculture Dept,Gift,Value-added Products,Value-Added,261686.54,0,261686.54,0,755063.6,493377.06
2023,Agriculture Dept,Miscellaneous Agency,Admin and Financial Assist,Agency Services - Agriculture,0,0,0,0,0,0
2023,Agriculture Dept,Miscellaneous Agency,Protection Service,Plant Protection,0,0,0,0,0,0
2023,Agriculture Dept,Other Misc Special Revenue,Admin and Financial Assist,Agency Services - Agriculture,6563289.2,0,6271231.41,292057.79,6376027.82,104796.41
2023,Agriculture Dept,Payroll Clearing,-,-,0,0,0,0,0,0
2023,Agriculture Dept,Remediation Fund,Protection Service,Pesticide and Fertilizer Mgmt,2234885.44,0,2234885.44,0,2234885.44,0
2023,Agriculture Dept,Restrict Misc Special Revenue,Admin and Financial Assist,Agency Services - Agriculture,7373112.47,0,7368967.38,4145.09,7368967.38,0
2023,Agriculture Dept,Restrict Misc Special Revenue,Ag Marketing & Development,"Marketing, Development, and Innovation",139720.63,0,119655.08,20065.55,124562.77,4907.69
2023,Agriculture Dept,Restrict Misc Special Revenue,Promotion and Marketing,Ag Marketing and Development,1440.01,0,1440.01,0,1440.01,0
2023,Agriculture Dept,Restrict Misc Special Revenue,Protection Service,Dairy and Meat Inspection,112159.92,0,112159.92,0,112159.92,0
2023,Agriculture Dept,Restrict Misc Special Revenue,Protection Service,Food and Feed Safety,512397.49,0,512397.49,0,512397.49,0
2023,Agriculture Dept,Restrict Misc Special Revenue,Protection Service,Lab Services,31516.66,0,31516.66,0,31516.66,0
2023,Agriculture Dept,Restrict Misc Special Revenue,Protection Service,Pesticide and Fertilizer Mgmt,0,0,0,0,0,0
2023,Agriculture Dept,Restrict Misc Special Revenue,Protection Service,Plant Protection,53153.89,0,53153.89,0,53153.89,0
2023,Agriculture Dept,Rural Finance Administration,Admin and Financial Assist,Agency Services - Agriculture,51666868.14,938695,23922167.96,26806005.18,43916868.14,19056005.18
2023,Agriculture Utilization Resrch,Environment & Natural Resource,Ag Utilization Research Institute,Ag Utilization Research Institute,0,0,0,0,0,0
2023,Agriculture Utilization Resrch,General,Ag Utilization Research Institute,Ag Utilization Research Institute,4043000,0,4043000,0,4043000,0
2023,Amateur Sports Comm,Building Construction-Bonded,Amateur Sports Commission,Amateur Sports Commission,9600000,0,9600000,0,9600000,0
2023,Amateur Sports Comm,General,Amateur Sports Commission,Amateur Sports Commission,306278.81,0,306278.81,0,306278.81,0
2023,Amateur Sports Comm,Gift,Amateur Sports Commission,Amateur Sports Commission,0,0,0,0,0,0
2023,Amateur Sports Comm,Payroll Clearing,-,-,0,0,0,0,0,0
2023,Amateur Sports Comm,Restrict Misc Special Revenue,Amateur Sports Commission,Amateur Sports Commission,171619.42,0,167473.73,4145.69,167473.73,0
2023,Animal Health Board,Federal,Livestock And Poultry Health,Disease Regulation And Control,2561680.41,0,1156512.16,1405168.25,1156512.16,0
2023,Animal Health Board,General,Livestock And Poultry Health,Disease Regulation And Control,5850103.74,0,5850103.74,0,5854700.35,4596.61
2023,Animal Health Board,Payroll Clearing,-,-,0,0,0,0,0,0
2023,Animal Health Board,Restrict Misc Special Revenue,Livestock And Poultry Health,Disease Regulation And Control,430008.95,0,93425.93,336583.02,93425.93,0
2023,"Architecture, Engineering Bd",General,AELSLA,AELSLA,694167.89,0,694167.89,0,694167.89,0
2023,"Architecture, Engineering Bd",Payroll Clearing,-,-,0,0,0,0,0,0
2023,Arts Board,Arts & Cultural Heritage Fund,Arts Board,Arts Board,35930894.93,1500,35929394.93,0,35988735.87,57840.94
2023,Arts Board,Federal,Arts Board,Arts Board,930986.72,0,926987.22,3999.5,936914,9926.78
2023,Arts Board,General,Arts Board,Arts Board,7667980.26,0,7667980.26,0,7679642.46,11662.2
2023,Arts Board,Gift,Arts Board,Arts Board,0,0,0,0,0,0
2023,Arts Board,Payroll Clearing,-,-,0,0,0,0,0,0
2023,Arts Board,Restrict Misc Special Revenue,Arts Board,Arts Board,200,0,0,200,0,0
2023,Asian-Pacific Council,General,Asian Pacific Council,Asian Pacific Council,521789.74,0,521789.74,0,523219.59,1429.85
2023,Asian-Pacific Council,Gift,Asian Pacific Council,Asian Pacific Council,26987.33,0,25239.44,1747.89,25239.44,0
2023,Asian-Pacific Council,Other Misc Special Revenue,Asian Pacific Council,Asian Pacific Council,8600,0,5500,3100,5500,0
2023,Asian-Pacific Council,Payroll Clearing,-,-,0,0,0,0,0,0
2023,Asian-Pacific Council,Restrict Misc Special Revenue,Asian Pacific Council,Asian Pacific Council,16366.87,0,16366.87,0,16366.87,0
2023,Attorney General,ARP-State Fiscal Recovery,Attorney General,Administrative Operations,2122229.99,0,2122229.99,0,2122245.99,16
2023,Attorney General,Environmental,Attorney General,Solicitor General,31287.2,0,31287.2,0,31287.2,0
2023,Attorney General,Federal,Attorney General,Health and Safety,3779482.94,0,3323804.96,455677.98,3323804.96,0
2023,Attorney General,General,Attorney General,Administrative Operations,12827230.84,0,12827230.84,0,12827738.75,507.91
2023,Attorney General,General,Attorney General,Consumer Protection,4491027.48,0,4491027.48,0,4491027.48,0
2023,Attorney General,General,Attorney General,Government Support,3736376.9,0,3736376.9,0,3736376.9,0
2023,Attorney General,General,Attorney General,Health and Safety,4503156.31,0,4503156.31,0,4503156.31,0
2023,Attorney General,General,Attorney General,Solicitor General,3898579.01,0,3898579.01,0,3898579.01,0
2023,Attorney General,Health Related Boards,Attorney General,Government Support,2406860.4,0,2406860.4,0,2406860.4,0
2023,Attorney General,Health Related Boards,Attorney General,Health and Safety,21000,0,21000,0,21000,0
2023,Attorney General,Miscellaneous Agency,Attorney General,Consumer Protection,23341843.29,0,568743.29,22773100,568743.29,0
2023,Attorney General,Other Misc Special Revenue,Attorney General,Administrative Operations,3485759.3,0,2045981.3,1439778,2063580.13,17598.83
2023,Attorney General,Other Misc Special Revenue,Attorney General,Consumer Protection,3384440.36,0,3384440.36,0,3384440.36,0
2023,Attorney General,Other Misc Special Revenue,Attorney General,Government Support,3609871.08,0,3609871.08,0,3609871.08,0
2023,Attorney General,Other Misc Special Revenue,Attorney General,Health and Safety,3167426.63,0,3167426.63,0,3167426.63,0
2023,Attorney General,Other Misc Special Revenue,Attorney General,Solicitor General,1863000,0,1863000,0,1863000,0
2023,Attorney General,Payroll Clearing,-,-,0,0,0,0,0,0
2023,Attorney General,Remediation Fund,Attorney General,Solicitor General,0,0,0,0,0,0
2023,Attorney General,Restrict Misc Special Revenue,Attorney General,Administrative Operations,2779.14,0,2779.14,0,2779.14,0
2023,Attorney General,Restrict Misc Special Revenue,Attorney General,Consumer Protection,866673.62,0,21392.2,845281.42,21392.2,0
2023,Attorney General,Restrict Misc Special Revenue,Attorney General,Health and Safety,375443.24,0,375443.24,0,375443.24,0
2023,Barber Examiners Board,General,Barbers,Barbers,348049.43,0,348049.43,0,352067.96,4018.53
2023,Barber Examiners Board,Payroll Clearing,-,-,0,0,0,0,0,0
2023,Behavioral Health & Therapy Bd,Health Related Boards,Behaviorial Health & Therapy,Behaviorial Health & Therapy,749899.63,0,749899.63,0,778164.52,28264.89
2023,Behavioral Health & Therapy Bd,Payroll Clearing,-,-,0,0,0,0,0,0
2023,Behavioral Health & Therapy Bd,Restrict Misc Special Revenue,Behaviorial Health & Therapy,Behaviorial Health & Therapy,25735.5,0,25735.5,0,25735.5,0
2023,Board Of Public Defense,ARP-State Fiscal Recovery,District Public Defense,District Public Defense,3286165.75,0,3286165.75,0,3286165.75,0
2023,Board Of Public Defense,General,Administrative Services Office,Administrative Services Office,2884942.31,0,2884942.31,0,2893964.76,9022.45
2023,Board Of Public Defense,General,Appellate Office,State Public Defender,7625410.19,0,7625410.19,0,7625442.15,31.96
2023,Board Of Public Defense,General,District Public Defense,District Public Defense,105259967.42,0,105259967.42,0,105340812.91,80845.49
2023,Board Of Public Defense,Gift,District Public Defense,District Public Defense,62507.58,0,62507.58,0,62507.58,0
2023,Board Of Public Defense,Payroll Clearing,-,-,0,0,0,0,0,0
2023,Board Of Public Defense,Restrict Misc Special Revenue,District Public Defense,District Public Defense,228125.28,0,228125.28,0,228125.28,0
2023,Board of Teaching,ARP-State Fiscal Recovery,Prof Educator Licensing Std Bd.,Operations,39511.8,0,39511.8,0,39511.8,0
2023,Board of Teaching,General,Prof Educator Licensing Std Bd.,Operations,6934669.81,0,6934669.81,0,8147866.35,1213196.54
2023,Board of Teaching,Payroll Clearing,-,-,0,0,0,0,0,0
2023,Board of Teaching,Restrict Misc Special Revenue,Prof Educator Licensing Std Bd.,Licensure by Portfolio,0,0,0,0,0,0
2023,Board of Teaching,Restrict Misc Special Revenue,Prof Educator Licensing Std Bd.,Operations,251564.05,0,251170.5,393.55,251170.5,0
2023,Bureau of Mediation Services,General,Mediation Services,Representation Mediation,2112125.81,0,2112125.81,0,2112155.06,29.25
2023,Bureau of Mediation Services,Other Misc Special Revenue,Mediation Services,Representation Mediation,0,0,0,0,0,0
2023,Bureau of Mediation Services,Payroll Clearing,-,-,0,0,0,0,0,0
2023,Campaign Fin & Public Discl Bd,General,Campaign Finance & Publ Disc,Campaign Finance & Publ Disc,1087919.52,0,1087919.52,0,1109061.01,21141.49
2023,Campaign Fin & Public Discl Bd,Other Misc Special Revenue,Campaign Finance & Publ Disc,Campaign Finance & Publ Disc,2449763.75,0,2449387.67,376.08,2449387.67,0
2023,Campaign Fin & Public Discl Bd,Payroll Clearing,-,-,0,0,0,0,0,0
2023,Capitol Area Architect,General,Capitol Area Arch Planning Bd,Capitol Area Arch Planning Bd,322554.94,0,322554.94,0,338971.57,16416.63
2023,Capitol Area Architect,Gift,Capitol Area Arch Planning Bd,Capitol Area Arch Planning Bd,0,0,0,0,0,0
2023,Capitol Area Architect,Payroll Clearing,-,-,0,0,0,0,0,0
2023,Chiropractors Board,Health Related Boards,Chiropractors Board Of,Chiropractors Board Of,692251.68,0,692251.68,0,705027.07,12775.39
2023,Chiropractors Board,Payroll Clearing,-,-,0,0,0,0,0,0
2023,Chiropractors Board,Restrict Misc Special Revenue,Chiropractors Board Of,Chiropractors Board Of,5433,0,4123,1310,5300,1177
2023,Combative Sports Commission,Payroll Clearing,-,-,0,0,0,0,0,0
2023,Commerce Dept,Climate and Economic Dev,Energy Resources,Energy Resources,0,0,0,0,0,0
2023,Commerce Dept,Federal,Energy Resources,Energy Resources,315247447.66,0,220037184.57,95210263.09,220066694.73,29510.16
2023,Commerce Dept,Federal,Enforcement,Enforcement,14367.26,0,10551.04,3816.22,10551.04,0
2023,Commerce Dept,Federal,Insurance,Insurance,686119.67,0,14961.25,671158.42,25000,10038.75
2023,Commerce Dept,Federal,Reinsurance Program,Reinsurance Program,91110030,0,91110030,0,91110030,0
2023,Commerce Dept,General,Administrative Services -Commerce,Administrative Services-Commerce,7747921.93,0,7747921.93,0,8000661.16,252739.23
2023,Commerce Dept,General,Energy Resources,Energy Resources,4579964.81,0,4579964.81,0,4599964.81,20000
2023,Commerce Dept,General,Enforcement,Enforcement,5264809.88,0,5264809.88,0,5280753,15943.12
2023,Commerce Dept,General,Enforcement,Investigations,133357.39,0,133357.39,0,133357.39,0
2023,Commerce Dept,General,Financial Institutions,Financial Institutions,1858327.42,0,1858327.42,0,1858327.42,0
2023,Commerce Dept,General,Insurance,Insurance,5980624.96,19168.43,5961456.53,0,5998798.71,18173.75
2023,Commerce Dept,General,Telecommunications,Telecommunications,963352.36,0,963352.36,0,963352.36,0
2023,Commerce Dept,General,Weights & Measures,Weights & Measures,1734483.7,0,1734483.7,0,1830716.02,96232.32
2023,Commerce Dept,Gift,Energy Resources,Energy Resources,0,0,0,0,0,0
2023,Commerce Dept,Miscellaneous Agency,Enforcement,Enforcement,80,0,0,80,0,0
2023,Commerce Dept,Miscellaneous Agency,Insurance,Insurance,0,0,0,0,0,0
2023,Commerce Dept,Oil Overcharge,Energy Resources,Energy Resources,0,0,0,0,0,0
2023,Commerce Dept,Other Misc Special Revenue,Insurance,Insurance,388994.59,0,388994.59,0,388994.59,0
2023,Commerce Dept,Other Misc Special Revenue,Reinsurance Program,Reinsurance Program,56355399,0,56355399,0,56355399,0
2023,Commerce Dept,Payroll Clearing,-,-,0,0,0,0,0,0
2023,Commerce Dept,Petroleum Tank Release Cleanup,Petroleum Tank Cleanup Fund,Petroleum Tank Cleanup Fund,5495164.14,0,5495164.14,0,5495794.66,630.52
